NM;TIN;VDNM;LICNUM;LICBEG;LICEND
"ПРИВАТНЕ ПIДПРИЄМСТВО ""САМОГОННА РЕСТОРАЦІЯ ""КОВЧЕГ""";39518281;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400019;24.02.2017;24.02.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПРЕМІУМ-БАР""";35875619;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400020;03.03.2017;03.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ФУДЕМБІР""";39506805;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400021;03.03.2017;03.03.2022
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ШЕФЛЕРА""";37303437;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400022;07.03.2017;07.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЮЖНІЙ БУГ""";38199650;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400023;07.03.2017;07.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЗЕ БІР""";40573335;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400024;10.03.2017;10.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""РОЯЛ ТАЙМ""";39142851;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400025;24.03.2017;24.03.2022
ФІЗИЧНА ОСОБА-ПІДПРИЄМЕЦЬ МОТРУК ВАСИЛЬ ДМИТРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400026;29.03.2017;29.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВІННЕРС""";38081950;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400027;31.03.2017;31.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ПРОМИСЛОВО-ТОРГІВЕЛЬНЕ ПІДПРИЄМСТВО ""ДРУЖБА""";20871553;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400028;31.03.2017;31.03.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БРЮМАЙСТЕР""";38511023;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400030;05.04.2017;05.04.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""УКРТОРГКОМ""";36837328;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400034;07.04.2017;07.04.2022
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ЖАН-ЖАК КЛАС""";33569550;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400035;14.04.2017;14.04.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ХОПТУІН""";40845339;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400037;20.04.2017;20.04.2022
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ЧЕРКАСЬКА БАВАРІЯ""";38305461;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400040;13.05.2017;13.05.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ БРОЖ ІРИНА МАРІАНІВНА;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400042;19.05.2017;19.05.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БІР ХАУС ПОЛТАВА""";39785152;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400045;07.06.2017;07.06.2022
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ІНКОПМАРК-ПЛЮС""";22222899;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400046;22.06.2017;22.06.2022
"СПІЛЬНЕ УКРАЇНСЬКО-ПОЛЬСЬКЕ ПІДПРИЄМСТВО У ФОРМІ ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАСТЕЛЯРІ""";14331217;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400047;22.06.2017;22.06.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЮНІТЕК""";32157767;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400049;27.06.2017;27.06.2022
"ПРИВАТНЕ АКЦIОНЕРНЕ ТОВАРИСТВО ""АГРОКОМПЛЕКС ХМІЛЬНИКПРОДУКТ""";35797976;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400051;04.07.2017;04.07.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ ШИЛЯЄВ ПАВЛО ОЛЕКСАНДРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400053;12.07.2017;12.07.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ МАРЧУК ВІКТОР СТАНІСЛАВОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400056;20.07.2017;20.07.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""АКВАДОН""";38478987;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400058;26.07.2017;26.07.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""СВТК""";31886276;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400059;26.07.2017;26.07.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ ОСТАПЧУК АНДРІЙ ОЛЕКСАНДРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400060;10.08.2017;10.08.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""НОВИЙ НАЦІОНАЛЬНИЙ СТАНДАРТ""";36899064;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400061;10.08.2017;10.08.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЕДЕЛЬБІР""";41383199;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400064;08.09.2017;08.09.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ СУХОВ СЕРГІЙ СЕРГІЙОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400065;15.09.2017;15.09.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПИВНА ЛІГА""";37005109;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400066;28.09.2017;28.09.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПРАЙМ-КОНСАЛТ ГРУП""";38465978;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400068;13.10.2017;13.10.2022
ФІЗИЧНА ОСОБА – ПІДПРИЄМЕЦЬ ПРИЩЕПА ВАСИЛЬ ІВАНОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;400069;23.11.2017;23.11.2022
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ХМІЛЬОК""";41954970;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;140210202100001;05.02.2021;05.02.2026
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ РАКОЧИЙ ОЛЕГ ОЛЕКСАНДРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;200210202100001;20.02.2021;20.02.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ВАТРА БРЮВ""";43583718;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;220210202100001;20.01.2021;20.01.2026
